Designator,Mid X,Mid Y,Layer,Rotation
C1,102.75,-129,top,180
C2,144.1,-136.5,top,270
C3,141.6,-136.5125,top,270
C4,139.1,-136.5,top,270
C5,113.5,-125.8,top,90
C6,111.25,-136.75,top,270
C7,114.25,-138,top,180
C8,120.75,-136.8,top,270
C9,122.75,-136,top,270
D1,113,-122.5,top,180
Q1,133.75,-123,top,0
Q2,133.75,-129,top,0
Q3,133.75,-135,top,0
Q4,129.25,-124.5,top,0
Q5,129.27,-130.5,top,0
Q6,129.25,-136.5,top,0
R1,119.4,-126.75,top,0
R2,116,-126.75,top,180
R3,111.9,-125.75,top,270
R4,118,-138,top,0
R5,113.5,-132.5,top,180
R6,124.75,-124,top,270
R7,124.75,-129.75,top,270
R8,124.75,-134,top,90
U1,116.5,-135.25,top,180
U2,119.1,-130.5,top,180
